GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Married-couple family:,Margin of Error; Married-couple family:,Estimate; Married-couple family: - With own children under 18 years:,Margin of Error; Married-couple family: - With own children under 18 years:,Estimate; Married-couple family: - With own children under 18 years: - Under 6 years only,Margin of Error; Married-couple family: - With own children under 18 years: - Under 6 years only,Estimate; Married-couple family: - With own children under 18 years: - Under 6 years and 6 to 17 years,Margin of Error; Married-couple family: - With own children under 18 years: - Under 6 years and 6 to 17 years,Estimate; Married-couple family: - With own children under 18 years: - 6 to 17 years only,Margin of Error; Married-couple family: - With own children under 18 years: - 6 to 17 years only,Estimate; Married-couple family: - No own children under 18 years,Margin of Error; Married-couple family: - No own children under 18 years,Estimate; Other family:,Margin of Error; Other family:,"Estimate; Other family: - Male householder, no wife present:","Margin of Error; Other family: - Male householder, no wife present:","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years:","Margin of Error; Other family: - Male householder, no wife present: - With own children under 18 years:","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years: - Under 6 years only","Margin of Error; Other family: - Male householder, no wife present: - With own children under 18 years: - Under 6 years only","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years: - Under 6 years and 6 to 17 years","Margin of Error; Other family: - Male householder, no wife present: - With own children under 18 years: - Under 6 years and 6 to 17 years","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years: - 6 to 17 years only","Margin of Error; Other family: - Male householder, no wife present: - With own children under 18 years: - 6 to 17 years only","Estimate; Other family: - Male householder, no wife present: - No own children under 18 years","Margin of Error; Other family: - Male householder, no wife present: - No own children under 18 years","Estimate; Other family: - Female householder, no husband present:","Margin of Error; Other family: - Female householder, no husband present:","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years:","Margin of Error; Other family: - Female householder, no husband present: - With own children under 18 years:","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years: - Under 6 years only","Margin of Error; Other family: - Female householder, no husband present: - With own children under 18 years: - Under 6 years only","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years: - Under 6 years and 6 to 17 years","Margin of Error; Other family: - Female householder, no husband present: - With own children under 18 years: - Under 6 years and 6 to 17 years","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years: - 6 to 17 years only","Margin of Error; Other family: - Female householder, no husband present: - With own children under 18 years: - 6 to 17 years only","Estimate; Other family: - Female householder, no husband present: - No own children under 18 years","Margin of Error; Other family: - Female householder, no husband present: - No own children under 18 years"
0400000US09,09,Connecticut,907600,3671,675803,4814,290273,3384,64960,1651,53134,1298,172179,2693,385530,2864,231797,3560,57050,1658,25229,1171,7235,656,3001,479,14993,852,31821,1177,174747,3091,100309,2355,17989,1004,17792,959,64528,1959,74438,1717
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",5272,156,4415,202,1893,166,504,123,291,80,1098,176,2522,217,857,176,220,90,79,68,32,53,0,19,47,36,141,56,637,163,395,137,109,71,9,14,277,119,242,100
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",31618,637,16357,641,8055,526,1967,360,2317,348,3771,381,8302,581,15261,690,3193,429,1457,302,512,187,338,170,607,167,1736,301,12068,631,7109,565,1358,294,1650,312,4101,418,4959,418
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",4625,212,4009,224,1681,148,324,125,276,111,1081,167,2328,233,616,173,171,85,67,47,10,15,0,19,57,47,104,65,445,143,252,125,43,45,15,24,194,106,193,72
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",19006,521,14017,606,6097,417,1709,315,1206,240,3182,385,7920,455,4989,454,1574,286,588,204,331,167,75,67,182,112,986,220,3415,378,1908,306,426,177,167,81,1315,283,1507,255
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",5394,120,4912,141,2990,143,554,102,611,122,1825,165,1922,163,482,110,65,38,49,33,6,10,0,23,43,33,16,17,417,98,283,92,0,23,33,30,250,86,134,47
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",2086,94,1848,114,859,89,124,75,226,75,509,93,989,131,238,79,77,51,36,25,8,13,7,11,21,20,41,42,161,70,77,52,9,14,0,17,68,52,84,52
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",14613,313,12355,336,6478,258,1463,231,1100,156,3915,277,5877,323,2258,267,527,132,204,90,27,41,3,5,174,83,323,95,1731,244,826,156,38,29,98,46,690,142,905,183
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",16136,325,13486,402,6910,294,1421,204,1479,260,4010,315,6576,382,2650,285,647,135,276,105,60,59,52,56,164,67,371,108,2003,258,997,203,107,77,20,24,870,184,1006,191
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",5284,198,4610,235,2117,178,334,132,383,116,1400,164,2493,240,674,175,193,109,106,73,0,19,18,26,88,67,87,61,481,126,214,83,17,27,11,19,186,82,267,88
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut",5260,176,4531,195,2654,143,445,107,549,157,1660,197,1877,194,729,171,135,87,70,73,0,23,0,23,70,73,65,44,594,152,301,125,65,76,69,92,167,95,293,109
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",3724,149,3328,167,1650,136,188,86,322,94,1140,139,1678,173,396,94,48,35,19,22,0,19,0,19,19,22,29,23,348,95,133,61,35,29,25,28,73,43,215,81
0600000US0900152980,0900152980,"Newtown town, Fairfield County, Connecticut",7222,192,6549,235,3530,183,589,134,591,126,2350,202,3019,222,673,166,175,70,73,52,23,27,2,3,48,43,102,52,498,142,234,107,45,48,0,23,189,99,264,90
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",21642,536,16693,622,6244,399,2032,281,1200,242,3012,335,10449,674,4949,398,1305,226,394,147,175,103,0,29,219,111,911,194,3644,399,1960,301,365,142,300,127,1295,265,1684,229
0600000US0900163480,0900163480,"Redding town, Fairfield County, Connecticut",2512,100,2154,126,915,120,133,68,150,71,632,128,1239,143,358,109,104,65,43,41,0,17,0,17,43,41,61,52,254,90,188,80,11,16,34,38,143,73,66,41
0600000US0900163970,0900163970,"Ridgefield town, Fairfield County, Connecticut",6825,178,6127,245,3283,195,509,131,504,115,2270,185,2844,283,698,192,137,63,66,43,8,12,0,23,58,39,71,48,561,188,418,166,49,71,17,20,352,147,143,76
0600000US0900168170,0900168170,"Shelton town, Fairfield County, Connecticut",10739,226,8985,282,3457,250,658,169,528,137,2271,245,5528,301,1754,265,510,147,169,78,22,26,23,36,124,67,341,121,1244,227,518,163,113,54,9,15,396,144,726,171
0600000US0900168310,0900168310,"Sherman town, Fairfield County, Connecticut",995,69,886,82,419,66,95,50,21,24,303,71,467,84,109,53,28,24,11,16,0,12,0,12,11,16,17,18,81,50,34,30,0,12,13,20,21,23,47,36
