GEO.id,GEO.id2,GEO.display-label,B11003_001E,B11003_001M,B11003_002E,B11003_002M,B11003_003E,B11003_003M,B11003_004E,B11003_004M,B11003_005E,B11003_005M,B11003_006E,B11003_006M,B11003_007E,B11003_007M,B11003_008E,B11003_008M,B11003_009E,B11003_009M,B11003_010E,B11003_010M,B11003_011E,B11003_011M,B11003_012E,B11003_012M,B11003_013E,B11003_013M,B11003_014E,B11003_014M,B11003_015E,B11003_015M,B11003_016E,B11003_016M,B11003_017E,B11003_017M,B11003_018E,B11003_018M,B11003_019E,B11003_019M,B11003_020E,B11003_020M
Id,Id2,Geography,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Married-couple family:,Margin of Error!!Total:!!Married-couple family:,Estimate!!Total:!!Married-couple family:!!With own children of the householder under 18 years:,Margin of Error!!Total:!!Married-couple family:!!With own children of the householder under 18 years:,Estimate!!Total:!!Married-couple family:!!With own children of the householder under 18 years:!!Under 6 years only,Margin of Error!!Total:!!Married-couple family:!!With own children of the householder under 18 years:!!Under 6 years only,Estimate!!Total:!!Married-couple family:!!With own children of the householder under 18 years:!!Under 6 years and 6 to 17 years,Margin of Error!!Total:!!Married-couple family:!!With own children of the householder under 18 years:!!Under 6 years and 6 to 17 years,Estimate!!Total:!!Married-couple family:!!With own children of the householder under 18 years:!!6 to 17 years only,Margin of Error!!Total:!!Married-couple family:!!With own children of the householder under 18 years:!!6 to 17 years only,Estimate!!Total:!!Married-couple family:!!No own children of the householder under 18 years,Margin of Error!!Total:!!Married-couple family:!!No own children of the householder under 18 years,Estimate!!Total:!!Other family:,Margin of Error!!Total:!!Other family:,"Estimate!!Total:!!Other family:!!Male householder, no spouse present:","Margin of Error!!Total:!!Other family:!!Male householder, no spouse present:","Estimate!!Total:!!Other family:!!Male householder, no spouse present:!!With own children of the householder under 18 years:","Margin of Error!!Total:!!Other family:!!Male householder, no spouse present:!!With own children of the householder under 18 years:","Estimate!!Total:!!Other family:!!Male householder, no spouse present:!!With own children of the householder under 18 years:!!Under 6 years only","Margin of Error!!Total:!!Other family:!!Male householder, no spouse present:!!With own children of the householder under 18 years:!!Under 6 years only","Estimate!!Total:!!Other family:!!Male householder, no spouse present:!!With own children of the householder under 18 years:!!Under 6 years and 6 to 17 years","Margin of Error!!Total:!!Other family:!!Male householder, no spouse present:!!With own children of the householder under 18 years:!!Under 6 years and 6 to 17 years","Estimate!!Total:!!Other family:!!Male householder, no spouse present:!!With own children of the householder under 18 years:!!6 to 17 years only","Margin of Error!!Total:!!Other family:!!Male householder, no spouse present:!!With own children of the householder under 18 years:!!6 to 17 years only","Estimate!!Total:!!Other family:!!Male householder, no spouse present:!!No own children of the householder under 18 years","Margin of Error!!Total:!!Other family:!!Male householder, no spouse present:!!No own children of the householder under 18 years","Estimate!!Total:!!Other family:!!Female householder, no spouse present:","Margin of Error!!Total:!!Other family:!!Female householder, no spouse present:","Estimate!!Total:!!Other family:!!Female householder, no spouse present:!!With own children of the householder under 18 years:","Margin of Error!!Total:!!Other family:!!Female householder, no spouse present:!!With own children of the householder under 18 years:","Estimate!!Total:!!Other family:!!Female householder, no spouse present:!!With own children of the householder under 18 years:!!Under 6 years only","Margin of Error!!Total:!!Other family:!!Female householder, no spouse present:!!With own children of the householder under 18 years:!!Under 6 years only","Estimate!!Total:!!Other family:!!Female householder, no spouse present:!!With own children of the householder under 18 years:!!Under 6 years and 6 to 17 years","Margin of Error!!Total:!!Other family:!!Female householder, no spouse present:!!With own children of the householder under 18 years:!!Under 6 years and 6 to 17 years","Estimate!!Total:!!Other family:!!Female householder, no spouse present:!!With own children of the householder under 18 years:!!6 to 17 years only","Margin of Error!!Total:!!Other family:!!Female householder, no spouse present:!!With own children of the householder under 18 years:!!6 to 17 years only","Estimate!!Total:!!Other family:!!Female householder, no spouse present:!!No own children of the householder under 18 years","Margin of Error!!Total:!!Other family:!!Female householder, no spouse present:!!No own children of the householder under 18 years"
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",5021,197,3992,266,1714,194,377,129,299,79,1038,181,2278,203,1029,213,458,171,299,157,172,146,52,79,75,56,159,95,571,163,284,128,2,16,60,42,222,125,287,117
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",32066,641,16469,716,7549,529,1502,294,1495,242,4552,442,8920,548,15597,642,3721,479,1619,294,444,138,313,130,862,217,2102,369,11876,594,6173,492,897,217,1766,309,3510,361,5703,401
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",4696,176,3946,221,1676,162,268,98,392,114,1016,133,2270,276,750,149,138,64,36,34,0,19,0,19,36,34,102,55,612,138,227,100,17,29,17,28,193,94,385,107
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",19556,488,13932,606,5861,445,1398,280,1108,259,3355,414,8071,527,5624,522,1591,319,683,203,330,127,149,102,204,111,908,265,4033,458,2147,347,316,163,547,168,1284,279,1886,301
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",5712,150,5127,156,3125,141,542,105,584,104,1999,179,2002,174,585,139,144,60,111,51,10,16,0,23,101,49,33,30,441,127,226,83,11,18,29,41,186,70,215,93
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",2216,109,1990,143,771,97,109,57,40,25,622,87,1219,162,226,99,65,46,7,11,0,17,0,17,7,11,58,44,161,91,80,51,0,17,10,9,70,49,81,61
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",15512,334,13255,347,6226,260,1281,169,976,172,3969,267,7029,351,2257,263,683,141,304,94,32,25,24,20,248,82,379,100,1574,215,745,167,34,27,55,49,656,151,829,153
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",16213,348,13526,407,6503,253,1447,228,1098,171,3958,280,7023,374,2687,305,721,166,402,132,52,53,26,29,324,125,319,104,1966,266,946,185,100,78,72,47,774,165,1020,186
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",5139,220,4586,238,2202,195,417,149,259,100,1526,181,2384,175,553,169,108,63,67,55,0,19,20,30,47,44,41,48,445,164,117,79,17,27,18,27,82,72,328,137
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut",5437,198,4751,217,2329,145,331,97,546,97,1452,160,2422,221,686,185,189,91,126,83,24,38,0,23,102,74,63,44,497,160,242,131,69,92,0,23,173,95,255,104
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",3883,167,3450,184,1325,132,364,90,151,60,810,133,2125,190,433,126,139,58,70,50,0,19,0,19,70,50,69,63,294,102,103,60,22,25,0,19,81,53,191,85
0600000US0900152980,0900152980,"Newtown town, Fairfield County, Connecticut",7710,239,6705,241,2775,150,401,123,354,86,2020,203,3930,270,1005,197,406,127,246,113,26,39,5,10,215,105,160,74,599,147,231,101,0,23,30,47,201,91,368,116
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",21942,524,16081,529,6705,412,1963,303,1215,247,3527,355,9376,497,5861,432,1681,293,655,201,22,36,129,85,504,178,1026,220,4180,369,1976,266,181,77,400,159,1395,261,2204,284
